Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11
PrY7CQPlG3JLMFDKy5N3yttxz6h57wOTs8oehJzHj+2e8o8nF4b3ZgVzCugFHbS2,1WfZjuwNwiIBI7l8YNvl9aumxYJ4k6w77mp9HAXnlMZ7ggEKCu27VVX0j8u8sN1U,K8lAQjGTDJ2gvxuTHVAgUCBO2avCPOjvACbJDpl+XGEeuXgAJUoPPUV6inyMAD0gPlgt+4Z0HqwEXF8NleXF/w==,0,2591400,98.5149276570503,30.1455967546607,97.9526544849643,Interactive,4,32
DHhEm1h2wdPMBhNZDEgYx39oWp2tdZmiGRG71h/uNsH5yXhgbJuYF/m9h4TpsLhN,NM+rYlOuvfObftjnvrHy7hUorr5ulWm8UgTM9A1SZniRTv4rWR02jsqwzTWYGnM1,tGInpwc5Wi0Tq15xunBKLtsbC6Bxk5LP2e+NIsoDe/D3jg/HUmFKSYfcy6Re2AnRKmmJLY0FHwg+tQPoB8gEmQ==,0,2591400,98.1488499201509,22.5682074680252,97.5014779827355,Interactive,4,32
FHWYNaEr31jj6jND7UbmyfrEfBIw81vFD1vCwVGo/8f4QeOsNT6RaM4Y2QJYiORz,iGfBdgMCxhv6Ib5tkEZ0H75nwKcQeBBYqHeYzu/koHMBBRWwpe5v7xa9kPTFj99+,t9UC3N+/GpFagl3vQyk4rG5OG0/8b8rlnl2MFUPBW1CMXj7iLHMEEP2H3XaVGkIyl6Pk3nLchfvGwNAlCjZwhg==,0,2591400,97.7850824449912,19.6441645571313,57.8294085874956,Interactive,4,8
chOufHUHenxOeak5RNIr9DLbpfG2DRFS8UFv0yS1BkHQpRa201ZIYGkprEBZlHA6,4YS4PerztPa7Vmmxjv4d7ddcTG4sHwm7Jdz1oEFkp6z+6NWRtrke07OosB0qvgVF,YH4b78EGYU/aJSeqDFd8Nc1vWNHl/LXBIBATTa+tV3WF/2hX3G2g4vw+CRX8WAiEthZZ1wo8QdRt6DczbkckSg==,0,2591400,79.7391251528673,24.0553420358553,50.5892800798583,Interactive,4,8
S9niv9L3YGDjriPJ1JNtRoAUHzvHkilHhJv2CSXsmHBOX9b482pwDNtePskdLlYn,lnNkWoRTqiT0MkljYe3y1/grH3Vp3DmlsmD0EW95N8YnLw3khzW1dqB/ro8KespG,r2H3GnPERWOyGkrwUyfQW8+4WpncH15s/2Ri23pk1N8xd1i03KozXoVtzF0YeGzSEgsDAJLotlSgrXpz3l2RZw==,0,2591400,87.4470571134819,4.65832068434764,14.4301507299428,Interactive,4,8
qZ37AlBm+Yrza0XW02+x0HF43CW/J3cjD5m8h6YdqtQLKk2aWfjrLC8hdZDKGSdz,PYVu8iD99irSRrG5UroUb6kIKAmPSYSGzPLGKIoEYCORABaJO/kIf4xBwf6O90Im,gfX6ivszDsUDa7vcsBuSeyArEddGuUeaBO3O+IjndYEbfWLb81xA062O1IEvz7FMi0lHjYCspU939fymMhJ2xg==,0,2591400,96.3972397043705,13.0388421744936,48.9228813813268,Interactive,4,32
ZNq7+KrtuZ6W8KkBPixis8lQv2rdYoMfz/eUPTHSXjnPE9iWOfrED/lXnq53oZd+,a8Bb3pEqQ6whne7OQMwa1/U8je4OJwu/gAvVHvgWTMQb0hNkZC9CjWVS2HRy95NP,ZAcMoNwWtQ6ub2Mmd6mlIWmHtn/pLmuN1dBiG0/tqG9goActSO0ob8WXdnuyFtNw8SDbmYRan6tMoo/utDY70A==,0,2591400,78.9350670750008,9.27084056135865,31.8907059077492,Interactive,4,32
gWiI6s+kF5OOk/s8i1/+5lrfIQQykqVtSSiQmN1DPR2YDS7l233KiYSQMmGkzRmd,PCCxNMA7wl9i+v57mWBypq2TK+6njalrgYynlExeZxYdpizqRvv87IE+1MGer4Mt,J/8jSqeyUzWsS/8HpT3FunWliqfz7KGdPQ+LwCXArBCGbImfOnvWmzDaSiEjDCUwgG78XIQ+IG09XhXtbFX1jw==,0,2591400,92.6968302226106,1.62482654913521,10.6659710559977,Interactive,4,8
wIeEGhFg/XUVrbaeyZ8QdxSsNwkiXMKZac2VH+OjRc0/QdttC6wlZCtDAC2y2J+a,dAOosfZkO0HRXqD9V+N8ELMfPK/hggFmHHGyDY5GcOI29MihrRazxWU2OTZiQGjQ,o0+uEqNxcFSSS+DQsNcUoOwOAcVxw9LvC84OIEAA67OJ4T/kyDxVoJfuIywXJAmOBAJxEnmHDIeb6eu1BQT2Pw==,0,2591400,99.2005453648227,60.2530437012138,98.9442813139615,Interactive,4,8
GExJ6lli54q7xgg16qucrSc3RTX/n0q+j87Iks8sK2EYO2egYOKKKxkTSCDsAcoU,1WfZjuwNwiIBI7l8YNvl9aumxYJ4k6w77mp9HAXnlMZ7ggEKCu27VVX0j8u8sN1U,K8lAQjGTDJ2gvxuTHVAgUCBO2avCPOjvACbJDpl+XGEeuXgAJUoPPUV6inyMAD0gPlgt+4Z0HqwEXF8NleXF/w==,0,2591400,98.3990209685422,15.1238698388117,58.2870110408179,Interactive,4,32
