interval_5m,avg_cpu
261,11.255744219925296
262,11.072009735456126
263,11.132047890327692
264,11.086275076250532
265,10.805456871431865
266,10.72886589203536
267,10.826957600190044
268,10.669370933336047
269,10.881301009044394
270,10.556339513680289
271,10.455319310055305
272,10.642270842518819
273,10.964055782650597
274,11.152146218730435
275,11.174779493086309
276,11.134423945973097
277,11.134520185886982
278,11.016705897758216
279,10.79759102180825
280,10.463487587299744
281,11.045030472093824
282,10.814987904326479
283,10.615229218162131
284,10.861073855899692
285,10.972353423731981
286,10.6088957815692
287,10.904452117059787
