disk_uid,disk_capacity,disk_attr,disk_type,user_type,vm_cpu,vm_memory
30233037-5e7b-4916-ae31-a33be88140d3,100,1,0,1,32,64
8826e3bd-9229-4b0e-b1b5-dd781f9d5ef1,100,1,0,1,32,64
7d06fe8d-1406-4d80-8d71-f106d3a34222,100,1,0,1,32,64
0987365a-4578-422c-9651-7f464e435a40,100,1,0,1,32,64
6fa33329-f836-4ace-abb1-bea9ff23dc00,100,1,0,1,32,64
e796a29f-4655-4e08-83c2-927bdcc2b6f8,100,1,0,1,32,64
d9e9c589-b0aa-48d8-b216-9ac05af720ed,100,1,0,1,32,64
2d8d4da1-6493-44f0-b62d-6f99004385ef,100,1,0,1,32,64
f78a15c6-83fe-4548-8a7f-cb8c1364cea6,100,1,0,1,32,128
6543dd5d-8f4b-404e-89fd-a4f693007fc9,100,1,0,1,32,128
bebc8a97-aeac-4caf-bbbc-775b2a1faf74,100,1,0,1,4,8
a5947c2c-d3ef-456c-b097-cd8e5207fe27,100,1,0,0,32,64
84b8ce16-c49d-4d84-ad6b-8aca1d529f1d,200,1,0,1,8,16
c10327e8-5ea7-4e50-9fe5-0a6bf0185eee,50,1,0,1,8,64
24c5c666-bff8-440b-90a9-214d67bec0f7,100,1,0,0,4,8
3d70083c-d416-4b17-894c-e1e6c80a5c5c,100,1,0,1,64,128
f8f9d7e3-0ef2-4fba-96de-a2b5f0f3155b,1000,1,0,1,64,128
90479ed1-4296-46d3-bd8f-e7de0190897d,100,1,0,1,32,64
17d24912-97dd-4a6b-9901-f59652adf4d1,30,1,0,1,8,64
2f84b869-8ec8-4170-98de-12135f424ca3,100,1,0,0,4,16
f766d7d0-0d68-4fd1-a3a5-0ddb0b675ca9,50,1,0,1,4,8
25c98c72-3ad6-45fa-9459-fa5266057eb0,100,1,0,0,8,16
9412ae24-4598-4053-9289-2ecabedd7835,100,1,0,0,2,4
064d6313-26ab-4fc2-958d-10ef2d0cdeb3,100,1,0,1,48,160
78b771f8-0dfb-4f7b-810d-2fb7451b77e3,30,1,0,1,8,16
232cbdb7-d6cd-4afb-82c6-5895faffa976,100,1,0,1,64,256
772fc1a4-b1ec-406f-9965-9be51c33297b,100,1,0,1,32,128
7c60543c-6dac-4736-8f0d-4b6e75240a16,100,1,0,1,32,128
a4d9339a-616b-4602-8f01-b4db768cbd2a,100,1,0,1,32,128
2b884717-6e61-4b9a-a078-e90a9ef7013c,50,1,0,1,4,8
d38ad2c9-2e1a-4940-8842-596917ab6576,10,1,0,0,2,2
197f1c0d-ac03-4def-8c16-e231ae4fab55,100,1,0,1,32,64
210ee831-0dd2-4385-b345-1ff30bf6ac2a,100,1,0,1,32,64
11e14adb-ec7f-442a-853c-6cb29187b926,30,1,0,1,8,16
10e93864-a64f-4084-a60b-be9e1f2a5c78,100,1,0,1,64,128
