disk_uid,disk_capacity,disk_attr,disk_type,user_type,vm_cpu,vm_memory
e4b07d7f-881d-4b0a-b9a7-02bcc8287fbe,50,1,1,0,1,2
9f807c80-7923-427a-9106-06fd660ca0da,50,1,1,0,1,2
34fcb117-4399-4595-8d59-78ba6964e085,50,1,1,0,1,2
04f7c6a6-1ae0-4aa1-8850-ec4ecebac2ce,50,1,1,0,1,2
b45fb938-8dfe-430d-a478-4f96134fe9f6,50,1,1,0,2,4
523fa431-2ebf-4068-9fe1-fe9135f3897c,50,1,1,0,1,2
c42f48b5-cb3e-4a6a-aa02-0cda0bcf1cac,50,1,1,0,1,2
4ce3fb06-eac2-4bfc-a3fa-db29b0aae624,50,1,1,0,1,1
43ef5bcd-ad8b-47db-8e4a-fb3f4246aecb,50,1,1,0,1,1
78ab45ed-13d0-4932-bd39-365d44a2fc15,50,1,1,0,1,1
de00ab37-7d25-426a-abf9-9ba5df69aa6a,50,1,1,0,1,1
138883e4-e54f-4724-8838-23e2c5f88ae4,100,1,0,1,16,32
693352a9-c1ab-425a-9a0e-6cf0fbb27c1d,50,1,1,0,1,1
29d0c9b1-466b-406b-89a9-24d66819513a,50,1,1,1,1,2
3a2fd5da-fee8-4fd2-a700-7a452d6f6da1,50,1,1,0,1,2
a02ad536-791f-4411-ba1b-74d3d2d3a7fe,100,1,0,1,16,32
75ae97eb-a3a2-4e09-968a-cccb7785a396,100,1,0,1,32,64
43745c7c-d4db-49fc-bf76-0f68763fda0a,50,1,1,0,2,4
ecde0671-b889-4326-801a-324419b0ee3e,50,1,1,0,1,1
dcef19b1-c9fb-4cbb-9cef-825ce59559b3,50,1,1,0,1,2
7cfa6565-0da1-4c8a-98be-a2dc337ac064,50,1,1,0,2,4
026ade33-f0a4-4bfd-9416-58b7d96ceda8,50,1,1,1,2,4
6426c4fb-713f-4ad7-8d2e-6de6b1d84ed9,50,1,1,0,2,4
dc468a4c-432b-4cd2-8eb1-17bfbe0887ee,50,1,1,0,1,1
2cb89f52-26ee-4449-b74d-5b72e8042cef,50,1,1,0,1,1
08b0d01f-f28a-4b99-8ab8-9fc2876ab830,100,1,0,1,32,64
d19ce836-975c-4a1d-b4cc-c03d4371c69a,50,1,1,0,1,1
c024d749-76a9-4e00-b0a1-bc54d6f371db,50,1,1,0,1,1
cf9255c4-16d2-4fa5-8ae8-0f98fbf531d4,50,1,1,0,1,1
2e7b8c6f-f1d0-4d72-bea6-581da6a9192f,50,1,1,0,1,2
9ac34c1b-b091-42d9-a7fd-5013f3729b38,50,1,1,0,1,1
739d1c1f-581f-4c8f-bfc1-e520d02e35d8,50,1,1,0,1,2
06622e18-7003-444f-b24a-8efc5307c46c,50,1,1,0,1,2
c40dbe70-3a83-4155-bea3-cd004df324e6,50,1,1,0,1,1
02d44841-5c27-4dd4-b600-c54822c5a832,50,1,1,0,1,2
93e03bd4-c1a9-46df-948b-6c65cb183ca3,50,1,1,0,1,1
3f668634-43b3-4ebe-a0ad-0572d14c59cc,50,1,1,0,1,1
65b7eb89-6a91-4e5c-bd2d-f0d1fc7873ba,50,1,1,0,1,2
c308ba14-73ef-49ad-92bd-5f1ec448ffd4,50,1,1,0,1,2
61d63916-eef3-4df4-a3e6-b2c25bf643a9,50,1,1,0,2,4
bf75efd4-cfb5-49e1-a3f0-74c79e3106a2,50,1,1,0,1,1
877dd05c-1ba1-4acb-93da-7ff880c709c1,50,1,1,0,2,4
a04dfaa4-b809-45ea-b703-e8af5b16627b,50,1,1,0,1,2
3e930802-e8e3-4c33-9304-39ff2652ead7,50,1,1,0,1,2
4bde6f38-2f41-4edf-898f-73f697404536,50,1,0,1,4,16
a89f8d33-002f-4e58-9647-fc7ed415809d,50,1,1,0,1,2
abecdd05-3954-4b9f-b611-7ac1f33cbc4a,50,1,1,0,1,2
591d5e28-7e6c-4a19-b3ce-3a8c5053bd45,50,1,1,0,1,2
eed564a5-20a3-4d36-9d66-2f117d3253f9,50,1,1,0,1,2
9652e974-2cad-4fe7-ac7f-fb2071dec896,50,1,1,0,1,2
ac1ebbed-0870-43e9-b1a0-dbb83b51b69d,50,1,1,0,1,2
5f95b051-5535-44ad-8f14-b4dc06e88cb1,50,1,1,0,4,8
e8a25e76-ea95-46b8-85e8-57a549119110,50,1,1,0,4,8
7c7e6223-e4d3-465d-aa59-8a79bcc58a44,50,1,1,0,1,2
cfafbe3c-9897-4fab-8445-120614fa718f,50,1,1,0,1,2
a15a30ff-19ef-4339-9c47-0a81707b0245,50,1,1,0,1,2
875e8732-081c-4626-8b23-76f694d336bc,100,1,0,1,32,64
cb1f8ad4-0c50-43ac-9c81-d9d39b233dec,50,1,1,0,1,2
2cecb855-b458-4deb-a629-6e7c0fb17b4c,50,1,1,0,1,2
55ace2f6-405c-40d8-a643-ce07e9aab7a3,50,1,1,0,1,2
e1ba5e25-a9a9-4fc6-be75-ecc04ff291f8,50,1,1,0,1,2
82ba08e3-6554-4dbd-a6f8-c405ad053174,50,1,1,0,1,2
6dd3a16e-2f11-424e-bc54-968f6a5c1308,50,1,1,0,1,2
e2103da6-9320-467b-825a-617dc5b925e7,50,1,1,0,1,2
44696aec-1365-488f-a69a-81a996d28c64,50,1,1,0,1,2
e58bdf7d-875a-4b3d-8f4e-94c78e300a04,50,1,1,0,1,2
817cecba-64a8-4efc-8083-8f541ee03457,50,1,1,0,1,2
2634dfc2-14cb-4c7d-bff3-2c58d8afe2a6,50,1,1,0,1,1
a141f3a3-06c6-4ff9-a08e-f0e8ed59a5ae,50,1,1,0,1,2
b2d0c3be-a456-4608-9a97-c13fccb3d58f,50,1,1,0,1,1
f26db11b-054d-4b1c-bbd3-e44304111e43,50,1,1,0,1,2
27d96098-ea99-4dda-a3b3-10dec2e53b3f,50,1,1,0,1,2
d7a40159-de4b-4033-ab8a-0caa676ab3c2,50,1,1,0,1,2
bd9fe08b-28d6-4183-82e8-d2a14abaefac,50,1,1,0,1,2
62a33192-27b3-4f43-a011-93003be99505,50,1,1,0,1,2
74eda843-b02a-4f6f-8a7a-173fc91ebcbf,50,1,1,0,1,1
b2bb793c-e0c7-4d72-8462-02143b250660,50,1,1,0,1,2
f1a01bbc-07b3-4604-9bf4-112898d7d618,50,1,1,0,1,2
4e2ab3b8-9b23-4aa8-a83d-00cdc9fbf12d,50,1,1,0,1,2
1909addc-ef7b-4bf5-b40a-3e342ce35ee6,50,1,1,0,1,2
9add74ca-8f44-4705-8559-af4f3e915ebc,50,1,1,0,1,2
d60d20d8-a6a0-4a38-8ceb-c900ba589b34,50,1,1,0,1,1
09050159-cc64-4d7a-a51d-256e4bea90fa,50,1,1,0,1,1
1541f66f-db65-4089-a3f4-d81fe9652d2b,10,1,0,0,1,2
a75f0cb0-0daa-460a-bbf4-aa04b3459624,50,1,1,0,1,1
11337337-9308-4e09-81de-f48fb5d979ff,50,1,1,0,1,1
0a4fd13d-3750-48e0-a269-15584f200079,50,1,1,0,1,2
b5eac40a-6d7c-4fc0-a392-e09e297a5f0f,50,1,1,0,1,2
1a946cca-c208-47cd-9fc7-49860da95585,50,1,1,1,4,8
95eef0a0-82f8-4ae3-b608-c5a18fb8d820,50,1,1,1,8,16
b309991c-f106-46cf-aec6-5abd09c9c636,50,1,1,0,1,1
18b48858-dcc8-4c97-9834-7048b3d79493,50,1,1,0,1,1
62002e45-e76d-443a-8451-84e674bba69c,50,1,1,0,1,2
714cc0ff-07b3-4130-893e-4f12840be827,50,1,1,0,1,2
5b437c12-ee13-4ae0-b78c-19772898840f,50,1,1,0,1,2
ef86d1a4-4574-474e-babe-04443936274c,50,1,1,0,1,2
92599319-756d-465e-8926-f373043dc3a4,50,1,1,0,2,4
95bcc6be-f2ae-475b-a6d0-e5fbb5c355c9,50,1,1,0,1,1
130a740c-4aa1-48e9-b07c-d5ad5aac104d,50,1,1,0,1,2
ea7a42fc-5e52-4adc-ba18-4f2ad0b1a4cf,50,1,1,0,4,8
551a5ec3-0032-418c-81cb-85f807891f3d,50,1,1,0,1,2
964617a8-dd48-4772-8ab4-bb899787e2ed,50,1,1,0,1,2
78eaf2b2-20d0-477a-bdd2-6b6081ab8cce,50,1,1,0,1,1
d02c6da2-c356-48df-afe3-e3657a62a7d5,50,1,1,0,2,4
13ebcee9-d526-4a8e-8382-cd076d2cf2ee,50,1,1,0,2,4
7159fe24-7f76-4331-97c9-36acb83c3eeb,50,1,1,0,1,2
4cc15cd0-d6c4-4493-891d-c505f5f48715,50,1,1,0,1,1
01f4bd3b-8f77-44bd-a96c-90bf861c820b,50,1,1,0,1,1
e9d55ec1-d199-4ad2-8745-d482887e8141,50,1,1,0,1,2
f019727a-af23-44ae-b140-e9968b4e0c4d,50,1,1,0,1,1
cfda6180-6ef6-4860-88ec-04a846efb27d,50,1,1,0,1,2
d21cf47f-6739-41a6-ae10-ba2591f77cd6,50,1,1,0,2,8
6dc43c41-eeca-43d6-876a-a9ceff2d6724,50,1,1,0,1,2
dd3a29b0-5e4f-4dad-b00e-3429302a0388,50,1,1,0,1,1
9a9e1f2b-42a2-4cbe-be24-dd5449a1d8fe,50,1,1,0,1,4
b63b4947-7f77-4f65-8320-3132e76e4194,50,1,1,0,1,2
9736dd02-d8a3-4c2c-9b8d-c84ea89140fe,50,1,1,0,1,2
46b3766b-85b9-4ccc-b778-bc1f06e3a333,50,1,1,0,1,2
de350f69-1a8b-44bf-a4bd-44745eaf1a0c,50,1,1,0,1,1
7cdefcdc-ac48-4c60-b102-cfecb20b5699,50,1,1,0,1,2
8d33855e-3831-431a-8a74-a0c5166a7593,50,1,1,0,1,1
21aaebe6-016e-4100-a8d5-021b24c2a590,50,1,1,0,1,1
4d875aec-c1c0-4e5a-aa60-d2c7214578d2,50,1,1,0,1,1
8ff71e95-d9bb-4e8e-925c-035726a32277,50,1,0,0,4,8
02c9f822-66e6-49d4-a4c2-5f70b3643376,100,1,1,0,2,4
20c2064c-ef8a-4ed4-abb6-23e025cd81f4,50,1,1,0,1,2
f29d1367-c733-451d-a7f7-9fd989ccd8c2,50,1,1,0,1,2
600c06a0-c51a-4315-93e0-1b91dbebd201,50,1,1,0,4,8
b33a5bed-e77b-4bf9-82a5-718814f1a778,50,1,1,0,1,1
3e2404d3-e168-44b8-b7fc-c371f65bccb2,50,1,1,0,1,2
91c3f605-e349-441c-b735-95d57819a08e,50,1,1,0,1,1
8cd1dc2f-c51d-4a7e-8c55-927ea85576a7,50,1,1,0,1,2
462ddd1c-f503-4b9d-8f38-54b592c86acc,50,1,1,0,2,4
543ca7fe-b11e-4a5e-9063-301c8032eed1,50,1,1,0,1,2
698df85e-91ef-4643-a4c2-30064d0ce571,50,1,1,0,1,2
d4c52ce5-c181-47a5-ae43-8d0882169a29,50,1,1,0,2,4
5f4f5084-8340-4744-a10d-06c6ec982217,50,1,1,0,1,1
dae39717-cd9f-41d8-88e3-c04fb7030ea0,50,1,1,0,1,1
eb170b3e-1ff6-40dd-bc6a-5906005b0e8e,50,1,1,0,1,2
8523292b-87b1-4fe0-80f4-59feaff659a8,50,1,1,0,1,1
35dd1ed6-7017-4bb7-bed1-4ee32905ac67,50,1,1,0,1,2
d6278eee-2e4e-4ced-8b90-a54c0ab960d6,50,1,1,0,1,2
b6298b4d-df0a-4124-bfca-acc548287200,50,1,1,0,1,2
6e725bf6-91ff-4cb7-bf9e-7df7b8c75861,50,1,1,1,12,24
ef2c4a2d-b277-4180-9d35-9f4681af53f1,50,1,1,0,1,2
a9acfe44-7acc-47a0-8292-f7f61cc96dfc,50,1,1,0,1,2
11ff0b7f-e895-4102-aa0f-26def36ebf82,50,1,1,0,1,2
69e1880c-049f-450f-8c25-2fe03922592a,50,1,1,0,1,2
a9e69b90-5c24-4c58-8715-88d0d250993e,50,1,1,0,1,2
d52d5d45-fe81-417f-8abe-91cd9e730f5b,50,1,1,0,1,2
72d3456e-9b2f-418f-b934-2c78f98f4d65,50,1,1,0,1,2
5d103394-378d-4bb9-89a7-5e06f9d0850d,50,1,1,0,1,2
6ed5ac36-92ba-4c98-878e-164f35c6811a,50,1,1,0,1,2
982e45e9-7251-4ae3-ae52-891a39cdc634,50,1,1,0,1,2
e948694d-23c5-46cf-b95b-c12aa096fb5e,50,1,1,0,1,2
8aa90966-e733-4590-96d7-0d34cf3be5b3,50,1,1,0,1,2
24922d5a-e206-4105-9eb8-cd834fa9481d,50,1,1,0,1,2
057c2f5c-d86e-4ec5-a8d6-b19ec319d52d,50,1,1,0,2,4
8c503aad-f6db-44a9-bb1b-61349190a96e,50,1,1,0,1,2
797784b0-1895-4605-9b4e-fe341b06efd9,50,1,1,0,1,2
c291e267-0309-49b6-bc18-17cb37794bd7,50,1,1,0,1,2
3b7996c5-e24f-4e63-9462-680787365667,50,1,1,0,1,2
4fa3bce2-3192-4729-9108-901ad483289e,50,1,1,0,1,2
31f3a129-6b6c-4114-a1e6-d4b5f30f728b,50,1,1,0,1,2
dfc62988-0b19-43dd-a504-e7324c54e573,50,1,1,0,2,4
42bd339d-a2f4-4d2c-8aa9-5b8146c95336,50,1,1,0,1,2
516a14d3-b7ed-4674-b8ef-adf8c2f0500e,50,1,1,0,1,2
350cede8-77f8-4bd2-b4ca-b2c5ff6c9e9d,50,1,1,0,1,2
cdfe3eb3-3671-4394-8d30-cc8ad97f0e05,50,1,1,0,1,2
2a9dfc61-bdc7-434d-8e1b-43a2978a309d,50,1,1,0,1,2
