bin_start_sec,total_work_core_seconds
54000,1300518.9866065979
54300,1364497.3148345947
54600,1345887.0306015015
54900,1494939.3033027649
55200,1407969.9960708618
55500,1324761.7272377014
55800,1313176.141834259
56100,1410156.765460968
56400,1397548.2347488403
56700,1465440.4552459717
57000,1331547.6565361023
57300,1336609.6432685852
57600,1314333.9065551758
57900,1265373.8502502441
58200,1295834.4471931458
58500,1357752.0426750183
58800,1721369.0554618835
59100,1730902.1730422974
59400,1474494.0836906433
59700,1442414.4038200378
60000,1486984.2215538025
60300,1481557.4151992798
60600,1492086.0091209412
60900,1331413.2754325867
61200,1398216.8529510498
61500,1448131.0249328613
61800,1499025.9527206421
62100,1585372.0593452454
62400,1597008.6682319641
62700,1473380.2722930908
63000,1397107.4918746948
63300,1368446.3224411011
63600,1462859.42029953
63900,1442421.622467041
64200,1417317.2080993652
64500,1380987.1032714844
64800,1876343.887424469
65100,1989221.5152740479
65400,2920458.7491989136
65700,1942282.5759887695
66000,2412801.1324882507
66300,2409654.9593925476
66600,2265614.1034126282
66900,2123773.5105514526
67200,1998052.9143333435
67500,1794096.5469360352
67800,1815467.7503585815
68100,1831935.5217933655
68400,1994055.1468849182
68700,2092797.6965904236
69000,2032283.5043907166
69300,2003224.6636390686
69600,2049993.5740470886
69900,1978121.75989151
70200,2092649.5405197144
70500,2163618.7459945679
70800,2183509.947681427
71100,2114254.116153717
71400,2095348.6152648926
71700,2053628.0170440674
72000,2130328.067779541
72300,2059768.8952445984
72600,2093146.9774246216
72900,2015530.2040100098
73200,1943009.7146987915
73500,1929769.3402290344
73800,1964970.6790924072
74100,2004314.5457267761
74400,1785880.2403450012
74700,1386829.674911499
75000,1071810.7217788696
75300,936756.49681091309
75600,917514.75677490234
75900,883324.1907119751
76200,860202.83803939819
76500,944469.50654983521
76800,876103.69348526
77100,934688.11826705933
77400,1036896.9383239746
77700,1092388.5955810547
78000,994529.76865768433
78300,1031189.5734786987
78600,1092417.5024986267
78900,2425581.2490463257
79200,1841325.8322715759
79500,2074392.098236084
79800,3465999.0523338318
80100,2688025.120639801
80400,1829693.5037612915
80700,1782238.608455658
81000,1748448.8250732422
81300,1631754.5139312744
81600,1596616.4691925049
81900,1497521.7372894287
82200,1418659.314250946
82500,1496450.2201080322
82800,2194060.0699424744
83100,1927274.1079330444
83400,6280213.0960464478
83700,5410477.5195121765
84000,1956691.5873527527
84300,1025236.2550735474
84600,1528680.376625061
84900,1521532.0381164551
85200,1461386.2627029419
85500,1556871.1037635803
85800,1638927.722454071
86100,1556874.5212554932
86400,1664758.3073616028
86700,1591264.0703201294
